Название;Режиссёр;Страна производства;Жанр;Год выхода;Место в рейтинге;Средняя оценка пользователей сайта
Истребитель демонов: Поезд «Бесконечный»;Харуо Сотодзаки;Япония;боевик, приключения, анимация;2020;1;9.3
Шан-Чи и легенда десяти колец;Дестин Креттон;США;фэнтези, боевик, комедия;2021;2;9.2
Лука;Энрико Касароса;США;анимация, приключения, фэнтези;2021;3;9.1
Зеленая миля;Фрэнк Дарабонт;США;драма;1999;4;9.1
Небо;Игорь Копылов;Россия;военный, драма;2020;5;9.0
FORD против FERRARI;Джеймс Мэнголд;США;биография, драма, спорт;2019;6;9.0
1+1;Оливье Накаш;Франция;комедия, драма, биография;2011;7;9.0
Король Лев;Роджер Аллерс;США;мюзикл, приключения, драма, семейный, комедия, анимация;1994;8;9.0
Хатико: самый верный друг;Лассе Халльстрем;США;семейный, драма;2009;9;8.9
The Box;Ян Джон-ун;Корея;драма, музыка, мюзикл;2021;10;8.9
Побег из Шоушенка;Фрэнк Дарабонт;США;драма, триллер;1994;11;8.9
101 далматинец;Клайд Джероними;США;семейный, приключения, анимация;1961;12;8.9
Пираты Карибского моря: Проклятие черной жемчужины;Гор Вербински;США;приключения, боевик;2003;13;8.9
Душа;Пит Доктер;США;анимация, семейный, приключения, комедия;2020;14;8.9
Шугалей 3;Михаил Вассербаум;Россия;боевик;2021;15;Не указано
Кошачьи миры Луиса Уэйна;Уилл Шарп;Великобритания;биография, драма, исторический;2021;16;8.9
Круэлла;Крэйг Гиллеспи;США;комедия;2021;17;8.9
Как приручить дракона 3;Дин Деблуа;США;анимация, семейный, комедия, приключения;2018;18;8.9
Райя и последний дракон;Пол Бриггс;США;анимация;2021;20;8.8
Ходячий замок;Хаяо Миядзаки;Япония;аниме , сказка, фантастика, мелодрама;2004;21;8.8
Человек божий;Елена Попович;Греция;драма;2021;22;8.8
Аватар;Джеймс Кэмерон;США;боевик, фантастика, триллер;2009;23;8.8
Начало;Кристофер Нолан;США / Великобритания;боевик, фантастика, триллер;2010;24;8.8
Ее заветное желание;Тамура Котаро;Япония;анимация, драма, мелодрама;2020;25;8.8
Аватар: Специальная версия;Джеймс Кэмерон;США;боевик, триллер, фантастика;2010;26;8.8
Джентльмены;Гай Ричи;США;боевик, криминал;2020;27;8.8
Джентльмены удачи;Александр Серый;СССР;криминал, комедия;1971;28;8.8
Изгой;Роберт Земекис;США;приключения, драма;2000;29;8.7
Леон;Люк Бессон;Франция;драма, триллер, криминал;1994;30;8.7
Бриллиантовая рука;Леонид Гайдай;СССР;комедия, приключения, криминал;1968;31;8.7
Зеленая книга;Питер Фаррелли;США;драма;2018;32;8.7
Терминатор 2: судный день;Джеймс Кэмерон;США / Франция;боевик, триллер, фантастика, приключения;1991;33;8.7
Главный герой;Шон Леви;США;фантастика, боевик, комедия, приключения;2021;34;8.7
Место встречи изменить нельзя;Станислав Говорухин;СССР;криминал, детектив, боевик;1979;35;8.7
Пираты Карибского моря: На странных берегах;Роб Маршалл;США;боевик, комедия, приключения;2011;36;8.7
Холодное сердце 2;Крис Бак;США;анимация, семейный, детский;2019;37;8.7
Тайна Коко;Ли Анкрич;США;анимация, приключения;2017;38;8.7
Эверест;Тодд Вилдерман;США;анимация;2019;39;8.7
Где ты, Адам?;Александр Запорощенко;Россия;документальный;2019;40;8.7
Гнев человеческий;Гай Ричи;Великобритания;криминал, боевик, триллер;2021;41;8.7
Холодное сердце;Крис Бак;США;приключения, анимация, семейный;2013;42;8.7
Иван Васильевич меняет профессию;Леонид Гайдай;СССР;комедия, фантастика;1973;43;8.7
Богемская рапсодия;Брайан Сингер;США / Великобритания;драма, биография, мюзикл;2018;44;8.7
Любовь и голуби;Владимир Меньшов;СССР;комедия, мелодрама;1984;45;8.7
А зори здесь тихие;Станислав Ростоцкий;СССР;исторический, драма, военный;1972;46;8.7
Форрест Гамп;Роберт Земекис;США;комедия, мелодрама, драма;1994;47;8.7
Не время умирать;Кэри Фукунага;США / Великобритания;боевик, криминал, триллер, приключения;2021;48;8.7
Гладиатор;Ридли Скотт;Великобритания / США;приключения, драма, боевик;2000;49;8.7
Вайолет Эвергарден. Фильм;Таити Исидатэ;Япония;анимация, драма, фэнтези;2020;50;8.7
Титаник;Джеймс Кэмерон;США;мелодрама, драма, приключения;1997;51;8.6
Терминатор 2: Судный день 3D;Джеймс Кэмерон;США;боевик, триллер;2017;52;8.6
Законопослушный гражданин;Ф. Гэри Грей;США;триллер, драма;2009;53;8.6
Малефисента: Владычица тьмы;Хоаким Роннинг;США;фэнтези, семейный, приключения;2019;54;8.6
Унесенные призраками;Хаяо Миядзаки;Япония;аниме , семейный, анимация, приключения;2001;55;8.6
12 стульев;Марк Захаров;СССР;комедия, детектив;1976;56;8.6
Властелин Колец: Братство Кольца;Питер Джексон;Новая Зеландия / США;приключения, боевик, фэнтези;2001;57;8.6
Твое имя;Макото Синкай;Япония;анимация, фэнтези, мелодрама, аниме ;2016;58;8.6
Матрица;Лилли (Энди) Вачовски;Австралия / США;боевик, фантастика, триллер;1999;59;8.6
Достать ножи;Райан Джонсон;США;детектив, драма, криминал, комедия;2019;60;8.6
Области тьмы;Нил Бергер;США;триллер;2011;61;8.6
Брат;Алексей Балабанов;Россия;боевик, драма;1997;62;8.6
В метре друг от друга;Джастин Бальдони;США;мелодрама, драма;2019;63;8.6
Ну, погоди!;Вячеслав Котеночкин;СССР;короткометражный, анимация;1969;64;8.6
Титаник 3D;Джеймс Кэмерон;США;приключения, драма, мелодрама;1997;65;8.6
Привидение;Джерри Цукер;США;драма, фэнтези, триллер, мистика, комедия;1990;66;8.6
Пираты Карибского моря: На краю света;Гор Вербински;США;сказка, боевик, комедия, приключения;2007;67;8.6
Криминальное чтиво;Квентин Тарантино;США;драма;1994;68;8.6
Храброе сердце;Мэл Гибсон;США;военный, биография, боевик, драма;1995;69;8.6
Назад в будущее;Роберт Земекис;США;приключения, фантастика, комедия, боевик;1985;70;8.6
ВАЛЛ-И;Эндрю Стэнтон;США;семейный, фэнтези, анимация;2008;71;8.6
Капернаум;Надин Лабаки;Ливан / Франция;драма;2018;72;8.6
Мстители: Война бесконечности;Энтони Руссо;США;боевик, фантастика;2018;73;8.6
Собачья жизнь 2;Гейл Манкусо;США;семейный;2019;74;8.6
Игры разума;Рон Ховард;США;мистика, драма, биография;2001;75;8.6
Я - легенда!;Френсис Лоуренс;США;драма, фантастика, ужасы;2007;76;8.6
Пятый элемент;Люк Бессон;Франция;приключения, триллер, боевик, фантастика, мелодрама;1997;77;8.6
Сумерки;Кэтрин Хардвик;США;фэнтези, мелодрама;2008;78;8.6
Назад в будущее 3;Роберт Земекис;США;приключения, фантастика, вестерн, комедия, боевик;1990;79;8.6
Рапунцель: Запутанная История;Байрон Ховард;США;семейный, мюзикл, анимация, комедия;2010;81;8.5
Отец;Флориан Зеллер;Великобритания / Франция;драма;2020;82;8.5
Игра;Дэвид Финчер;США;криминал, приключения, триллер;1997;83;8.5
Ледниковый период;Карлос Салдана;США;комедия, приключения, анимация, семейный;2002;84;8.5
Как приручить дракона;Дин Деблуа;США;анимация, семейный, сказка;2010;85;8.5
Король Лев;Джон Фавро;США;фантастика, семейный;2019;86;8.5
Зверополис;Байрон Ховард;США;анимация, боевик, приключения, семейный, комедия;2016;87;8.5
Чего хотят женщины;Нэнси Мейерс;США;мелодрама, комедия;2000;88;8.5
Бойцовский клуб;Дэвид Финчер;США / Германия;триллер, боевик, драма;1999;89;8.5
Властелин Колец: Две крепости;Питер Джексон;США / Новая Зеландия / Германия;приключения, фэнтези, драма;2002;90;8.5
Джанго освобожденный;Квентин Тарантино;США;вестерн;2012;91;8.5
Добро пожаловать, или Посторонним вход воспрещен;Элем Климов;СССР;семейный, комедия;1964;92;8.5
Загадочная история Бенджамина Баттона;Дэвид Финчер;США;мелодрама, драма, мистика, фантастика;2008;93;8.5
Адвокат дьявола;Тэйлор Хэкфорд;США / Германия;триллер, драма;1997;94;8.5
Зов предков;Крис Сандерс;США;приключения, анимация, семейный;2020;95;8.5
Кощей. Начало;Андрей Колпин;Россия;анимация, приключения, семейный;2021;96;8.5
Шерлок Холмс;Гай Ричи;США / Великобритания;драма, боевик, криминал, приключения, мистика;2009;97;8.5
Троя;Вольфганг Петерсен;США / Мальта / Великобритания;исторический, приключения;2004;98;8.5
Холоп;Клим Шипенко;Россия;комедия;2019;99;8.5
Пассажиры;Мортен Тильдум;США;фантастика, приключения, мелодрама;2016;100;8.5
Достучаться до небес;Томас Ян;Германия / Нидерланды / Бельгия;боевик, драма, приключения, комедия;1997;101;8.5
Веном;Рубен Флейшер;США;фантастика, боевик, триллер;2018;102;8.5
Гарри Поттер и Дары смерти. Часть вторая;Дэвид Йейтс;США / Великобритания;семейный, фэнтези, драма, мистика, приключения;2011;103;8.5
Дневник памяти;Ник Кассаветис;США;драма, мелодрама;2004;104;8.5
Маленькие женщины;Грета Гервиг;США;мелодрама, драма;2019;105;8.5
Круиз по джунглям;Хауме Кольет-Серра;США;приключения;2021;106;8.5
Полицейский из Беверли-Хил;Эдди Мерфи;;боевик, триллер, комедия;Не указано;107;Не указано
Веном 2;Энди Серкис;США;фантастика, боевик;2021;108;8.5
Мстители: Финал;Энтони Руссо;США;боевик, фантастика;2019;109;8.5
Остров проклятых;Мартин Скорсезе;США;драма, мистика, триллер;2009;110;8.5
Железный человек;Джон Фавро;США;приключения, фантастика, боевик, триллер;2008;111;8.5
Пираты Карибского моря: Сундук мертвеца;Гор Вербински;США;боевик, сказка, комедия, приключения;2006;112;8.4
Хоббит: Нежданное путешествие;Питер Джексон;США;фэнтези, приключения;2012;113;8.4
Шрэк;Эндрю Адамсон;США;анимация, семейный, комедия;2001;114;8.4
Жизнь, как она есть;Грег Берланти;США;комедия;2010;115;8.4
Джуманджи;Джо Джонстон;США;семейный, триллер, комедия, приключения, фантастика, драма;1995;116;8.4
Сумерки. Сага. Новолуние;Крис Вайц;США;фэнтези, мелодрама;2009;117;8.4
Офицеры;Владимир Роговой;СССР;драма, мелодрама;1971;118;8.4
Кунг-Фу Панда;Марк Осборн;США;комедия, анимация;2008;119;8.4
Движение вверх;Антон Мегердичев;Россия;спорт, драма;2017;120;8.4
Пираты Карибского моря: Мертвецы не рассказывают сказки;Хоаким Роннинг;США;комедия, фэнтези, боевик, приключения;2017;121;8.4
Анастасия;Дон Блат;США;анимация, сказка, драма, мюзикл, семейный, приключения;1997;122;8.4
Алита: Боевой ангел;Роберт Родригес;США / Канада / Аргентина;фантастика, боевик, приключения, мелодрама;2018;123;8.4
Один день;Лоне Шерфиг;Великобритания;комедия, мелодрама;2011;124;8.4
Грань будущего;Даг Лайман;США;фантастика, боевик;2014;125;8.4
День сурка;Харольд Рэмис;США;комедия, мелодрама, фантастика;1993;126;8.4
Принц Персии: Пески времени;Майк Ньюэлл;США;приключения, мелодрама, боевик, фэнтези;2010;127;8.4
Живая сталь;Шон Леви;США;драма, боевик;2011;128;8.4
Хэнкок;Питер Берг;США;комедия, фантастика, боевик;2008;129;8.4
Красавица и чудовище;Гэри Троусдейл;США;сказка, мелодрама, мюзикл, семейный, анимация;1991;130;8.4
Брестская крепость;Александр Котт;Россия / Беларусь;драма, военный;2010;131;8.4
Поймай меня, если сможешь;Стивен Спилберг;США;комедия;2002;132;8.4
Добрыня Никитич и Змей Горыныч;Илья Максимов;Россия;сказка, комедия, анимация, семейный, приключения;2006;133;8.4
Брат 2;Алексей Балабанов;США / Россия;боевик, криминал;2000;134;8.4
Рататуй;Брэд Берд;США;комедия, семейный, анимация;2007;135;8.4
Семь;Дэвид Финчер;США;мистика, криминал, триллер;1995;136;8.4
Гарри Поттер и Дары смерти. Часть первая;Дэвид Йейтс;США / Великобритания;семейный, фэнтези, драма, мистика, приключения;2010;137;8.4
Серебряные коньки;Михаил Локшин;Россия;приключения, фэнтези;2020;138;8.4
Гарри Поттер и кубок огня;Майк Ньюэлл;США / Великобритания;семейный, приключения, триллер, фэнтези, сказка;2005;139;8.4
Три богатыря и шамаханская царица;Сергей Глезин;Россия;сказка, анимация;2010;140;8.3
Человек-паук: Вдали от дома;Джон Уоттс;США;фантастика, боевик;2019;141;8.3
По соображениям совести;Мэл Гибсон;США;военный, драма, биография;2016;142;8.3
Служебный роман;Эльдар Рязанов;СССР;мелодрама, комедия;1977;143;8.3
Мумия;Стивен Соммерс;США;триллер, комедия, боевик, сказка, ужасы, приключения;1999;144;8.3
Крепкий орешек;Джон МакТирнан;США;триллер, криминал, боевик;1988;145;8.3
Мистер и миссис Смит;Даг Лайман;США;триллер, приключения, боевик, мелодрама;2005;146;8.3
Вперёд;Дэн Скэнлон;США;анимация, семейный, приключения, комедия, фэнтези;2019;147;8.3
Логан;Джеймс Мэнголд;США;боевик, фантастика;2017;148;8.3
Камуфляж и шпионаж;Трой Квон;США;анимация, фантастика, семейный;2019;149;8.3
Сонная лощина;Тим Бертон;США;триллер, ужасы, фантастика;1999;150;8.3
Легенда №17;Николай Лебедев;Россия;биография, спорт;2012;151;8.3
Босс-молокосос 2;Том МакГрат;США;анимация;2021;152;8.3
Гарри Поттер и Тайная Комната;Крис Коламбус;США / Великобритания / Германия;мистика, приключения, сказка, семейный;2002;153;8.3
Динозавр;Эрик Лейтон;США;семейный, приключения, анимация;2000;154;8.3
Шерлок Холмс: Игра теней;Гай Ричи;США;приключения, криминал;2011;155;8.3
Черный лебедь;Даррен Аронофски;США;драма, триллер;2010;156;8.3
Университет монстров;Дэн Скэнлон;США;комедия, семейный, фэнтези, приключения, анимация;2013;157;8.3
Чужой;Ридли Скотт;США / Великобритания;ужасы, фантастика, триллер;1979;158;8.3
Константин: повелитель тьмы;Френсис Лоуренс;США / Германия;триллер, боевик, сказка, драма;2005;159;8.3
Господин Никто;Жако Ван Дормель;Бельгия / Канада / Франция;фантастика, фэнтези, драма, мелодрама;2009;160;8.3
РЭД;Роберт Швентке;США;комедия, боевик;2010;161;8.3
Темный рыцарь;Кристофер Нолан;США;драма, мистика, триллер, боевик;2008;162;8.3
Гарри Поттер и философский камень;Крис Коламбус;Великобритания / США;приключения, семейный, сказка;2001;163;8.3
Шрэк 2;Эндрю Адамсон;США;сказка, комедия, анимация, приключения, семейный;2004;164;8.3
Притворись моей женой;Деннис Дуган;США;мелодрама, комедия;2011;165;8.3
Рио;Карлос Салдана;США;комедия, семейный, анимация, приключения;2011;166;8.3
Телохранитель киллера;Патрик Хьюз;США;боевик, комедия;2017;167;8.3
Ледниковый период 3: Эра динозавров;Карлос Салдана;США;приключения, анимация, семейный, комедия;2009;168;8.3
Форсаж 5;Джастин Лин;США;боевик, приключения;2011;169;8.3
Майкл Джексон: Вот и все;Кенни Ортега;США;документальный, мюзикл;2009;170;8.3
Заложница;Пьер Морель;Франция;триллер, боевик;2008;171;8.3
Огонь;Алексей Нужный;Россия;драма;2020;172;8.3
Жестокие игры;Роджер Камбл;США;мелодрама, драма, триллер;1999;173;8.3
Время;Эндрю Никкол;США;фантастика;2011;174;8.3
Престиж;Кристофер Нолан;США / Великобритания;сказка, триллер, фантастика, драма;2006;175;8.3
Трансформеры;Майкл Бэй;США;боевик, приключения, фантастика;2007;176;8.3
Аладдин;Джон Маскер;США;сказка, мюзикл, семейный, анимация, комедия, приключения;1992;177;8.3
Тор: Рагнарёк;Тайка Вайтити;США;фэнтези, драма, боевик;2017;178;8.3
От заката до рассвета;Роберт Родригес;США;боевик, триллер, ужасы;1995;179;8.3
Апокалипсис;Мэл Гибсон;США;боевик, приключения, драма;2006;180;8.3
До встречи с тобой;Теа Шэррок;США;мелодрама;2016;181;8.3
Брюс Всемогущий;Том Шэдьяк;США;сказка, комедия;2003;182;8.3
Властелин Колец: Возвращение Короля;Питер Джексон;США / Новая Зеландия / Германия;фэнтези;2003;183;8.3
"Всегда говори ""Да""";Пейтон Рид;США;комедия;2008;184;8.3
Индиана Джонс и последний крестовый Поход;Стивен Спилберг;США;фантастика, боевик, приключения, триллер;1989;185;8.3
Терминатор;Джеймс Кэмерон;Великобритания / США;триллер, фантастика, боевик;1984;186;8.3
Отступники;Мартин Скорсезе;США;криминал, драма, триллер;2006;187;8.3
Маска;Чак Расселл;США;фэнтези, криминал, комедия;1994;188;8.3
Майор Гром: Чумной Доктор;Олег Трофим;Россия;фантастика, драма, боевик;2021;189;8.3
Проза бродячих псов. Фильм;Такуя Игараси;Япония;анимация, аниме ;2018;190;8.3
Корпорация Монстров;Пит Доктер;США;семейный, сказка, комедия, анимация;2001;191;8.3
Аладдин;Гай Ричи;США;приключения, мюзикл;2019;192;8.3
Первому игроку приготовиться;Стивен Спилберг;США;фантастика, боевик, триллер;2018;193;8.3
Исчезнувшая;Дэвид Финчер;США;триллер, драма;2014;194;8.3
Гарри Поттер и узник Азкабана;Альфонсо Куарон;США / Великобритания;приключения, семейный, фэнтези;2004;195;8.3
Люди в черном;Барри Зонненфельд;США;боевик;1997;196;8.3
Три метра над уровнем неба;Фернандо Гонзалез Молина;Испания;драма;2010;197;8.3
Тайна третьей планеты;Роман Качанов;СССР;анимация, приключения, семейный, фантастика;1981;198;8.3
Скала;Майкл Бэй;США;боевик, приключения;1996;199;8.3
Французский вестник. Приложение к газете «Либерти. Канзас ивнинг сан»;Уэс Андерсон;США;мелодрама, комедия;2021;200;8.3
Гонка;Рон Ховард;США;биография, драма, боевик, спорт;2012;201;8.2
Ральф;Рич Мур;США;анимация;2012;202;8.2
Иллюзия обмана;Луи Летерье;США;криминал, триллер;2013;203;8.2
Мальчишник 2: Из Вегаса в Бангкок;Тодд Филлипс;США;комедия;2011;204;8.2
Доспехи Бога;Джеки Чан;Гонконг / Югославия;приключения, боевик, комедия;1987;205;8.2
Хоббит: Битва Пяти Воинств;Питер Джексон;США;фэнтези, приключения;2014;206;8.2
Соник в кино;Джефф Фаулер;США;фэнтези;2019;207;8.2
28 панфиловцев;Ким Дружинин;Россия;военный, драма;2016;208;8.2
Варкрафт;Дункан Джонс;США;приключения, боевик, фэнтези;2016;209;8.2
Дитя погоды;Макото Синкай;Япония;аниме , мелодрама, анимация, фэнтези;2019;210;8.2
300 спартанцев;Зак Снайдер;США;приключения, драма, боевик;2007;211;8.2
Голая правда;Роберт Лукетич;США;мелодрама, комедия;2009;212;8.2
Алеша Попович и Тугарин Змей;Константин Бронзит;Россия;семейный, сказка, анимация;2004;213;8.2
Убойные каникулы;Илай Крэйг;Канада;комедия;2009;214;8.2
Сумерки. Сага. Рассвет: Часть 1;Билл Кондон;США;фэнтези, мелодрама;2011;215;8.2
Одиннадцать друзей Оушена;Стивен Содерберг;США / Австралия;криминал, триллер;2001;216;8.2
Предложение;Энн Флетчер;США;мелодрама, комедия;2009;217;8.2
Ледниковый период 4: Континентальный дрейф;Стив Мартино;США;комедия, анимация, семейный, приключения;2012;218;8.2
Лучшее во мне;Майкл Хоффман;США;мелодрама, драма;2014;219;8.2
Волк и теленок;Михаил Каменецкий;СССР;семейный, анимация, сказка;1984;220;8.2
Семья по-быстрому;Шон Андерс;США;комедия;2018;221;8.2
Мадагаскар 2;Эрик Дарнелл;США;сказка, семейный, анимация, комедия, приключения;2008;222;8.2
Т-34;Алексей Сидоров;Россия;военный, боевик, приключения;2018;223;8.2
Эффект бабочки;Эрик Бресс;США;драма, триллер, фантастика;2004;224;8.2
Король говорит!;Том Хупер;Великобритания / Австралия;драма, исторический;2010;225;8.2
Лёд 2;Жора Крыжовников;Россия;мелодрама, драма;2020;226;8.2
Звезда родилась;Брэдли Купер;США;драма, мелодрама, мюзикл;2018;227;8.2
Лучшее предложение;Джузеппе Торнаторе;Италия;мелодрама, драма;2013;228;8.2
Механик;Саймон Уэст;США;драма, боевик;2011;229;8.2
Вольт;Крис Уильямс;США;анимация, комедия, семейный;2008;230;8.2
Неадекватные люди;Роман Каримов;Россия;комедия;2010;231;8.2
Суперсемейка 2;Брэд Берд;США;анимация, детский;2018;232;8.2
Помни меня;Аллен Култер;США;драма, мелодрама;2010;233;8.2
Собачья жизнь;Лассе Халльстрем;США;драма, комедия;2017;234;8.2
Люди Икс: Начало. Росомаха;Гэвин Худ;США / Новая Зеландия / Австралия;фантастика, боевик;2009;235;8.2
Значит, война;МакДжи;США;комедия, боевик, мелодрама;2011;236;8.2
Джон Картер;Эндрю Стэнтон;США;приключения, фантастика, боевик, фэнтези;2012;237;8.2
Впритык;Тодд Филлипс;США;комедия;2010;238;8.2
Люди Икс: Первый класс;Мэттью Вон;США;боевик, фантастика, драма;2011;239;8.2
Миллионер из трущоб;Дэнни Бойл;Великобритания;мелодрама, драма, комедия;2008;240;8.2
Кунг-Фу Панда 2;Дженнифер Ю;США;комедия, анимация;2011;241;8.2
Легенды ночных стражей;Зак Снайдер;США / Австралия;фэнтези, анимация, приключения;2010;242;8.2
Доктор Стрэндж;Скотт Дерриксон;США;фэнтези, приключения;2016;243;8.2
Стражи Галактики. Часть 2;Джеймс Ганн;США;боевик, фантастика;2017;244;8.2
Ральф против интернета;Фил Джонстон;США;анимация, комедия, фантастика, приключения, семейный;2018;245;8.2
После;Дженни Гейдж;США;драма, мелодрама;2019;246;8.2
Ледниковый период 2: Глобальное потепление;Карлос Салдана;США;комедия, семейный, анимация;2006;247;8.2
Поворот не туда;Роб Шмидт;США;триллер, ужасы;2003;248;8.2
Щенячий патруль в кино;Кэллан Брукнер;США / Канада;анимация, приключения;2021;249;8.2
Мстители;Джосс Уидон;США;боевик;2012;250;8.2
Плохие парни навсегда;Адиль Эль Арби;США;боевик, криминал, комедия;2020;251;8.2
Хоббит: Пустошь Смауга;Питер Джексон;США / Новая Зеландия;драма, фэнтези, приключения;2013;252;8.2
Я, робот;Алекс Пройас;США;фантастика, приключения, триллер;2004;253;8.2
Заклятие 3: По воле дьявола;Майкл Чавес;США;ужасы;2021;254;8.2
Мадагаскар 3;Эрик Дарнелл;США;анимация, семейный;2012;255;8.2
Аквамен;Джеймс Ван;США;фантастика, приключения, боевик;2018;256;8.2
О чем говорят мужчины;Дмитрий Дьяченко;Россия;комедия;2010;257;8.2
Человек-паук: Через вселенные;Боб Персичетти;США;анимация, приключения, фантастика;2018;258;8.2
Рыцарь дня;Джеймс Мэнголд;США;боевик, комедия;2010;259;8.2
Доктор Сон;Майк Флэнеган;США;мистика, ужасы;2019;260;8.2
Молот;Нурбек Эген;Россия;драма, спорт;2016;261;8.2
Реквием по мечте;Даррен Аронофски;США;драма, криминал;2000;262;8.2
Последняя дуэль;Ридли Скотт;США;драма;2021;263;8.1
Гадкий я;Пьер Коффин;США;семейный, анимация;2010;264;8.1
Моана;Джон Маскер;США;анимация;2016;265;8.1
Принцесса Мононоке;Хаяо Миядзаки;Япония;аниме , сказка, приключения, анимация, триллер, драма;1997;266;8.1
Салют-7;Клим Шипенко;Россия;драма, исторический;2017;267;8.1
Добро пожаловать в Зомбилэнд;Рубен Флейшер;США;комедия, ужасы;2009;268;8.1
Клаустрофобы;Адам Робител;США;ужасы;2019;269;8.1
Балерина;Эрик Саммер;Франция / Канада;анимация, семейный;2017;270;8.1
Адреналин;Марк Невелдайн;Великобритания / США;драма, боевик, триллер;2006;271;8.1
Дело Ричарда Джуэлла;Клинт Иствуд;США;драма;2019;272;8.1
Отель Мумбаи: Противостояние;Энтони Марас;Австрия;триллер, драма, криминал;2018;273;8.1
Список Шиндлера;Стивен Спилберг;США;исторический, военный, драма, биография;1993;274;8.1
Час пик 2;Бретт Рэтнер;США;триллер, комедия, приключения, боевик;2001;275;8.1
Семейка Крудс;Керк Де Микко;США;анимация, комедия, приключения, семейный;2013;276;8.1
Мулан;Тони Бэнкрофт;США;семейный, анимация;1998;277;8.1
Шрэк навсегда;Майк Митчелл;США;сказка, приключения, семейный, анимация, комедия;2010;278;8.1
Малена;Джузеппе Торнаторе;Италия / США;военный, драма, мелодрама;2000;279;8.1
Три дня на побег;Пол Хаггис;США;триллер, мелодрама, драма;2010;280;8.1
Трансформеры: Месть падших;Майкл Бэй;США;фантастика, приключения, боевик;2009;281;8.1
Доспехи Бога 3: миссия Зодиак;Джеки Чан;Гонконг / Китай;боевик, приключения;2012;282;8.1
Железный человек 3;Шейн Блэк;США;фантастика, боевик, приключения;2013;283;8.1
Джокер;Тодд Филлипс;США;криминал, драма;2019;284;8.1
Фердинанд;Карлос Салдана;США;анимация;2017;285;8.1
Дурак;Юрий Быков;Россия;драма;2014;286;8.1
Непрощенный;Сарик Андреасян;Россия;драма;2018;287;8.1
Исходный код;Дункан Джонс;США / Франция;драма, фантастика;2011;288;8.1
Крепкий орешек 4.0;Лен Уайзман;США;приключения, триллер, боевик;2007;289;8.1
Гномео и Джульетта;Келли Эсбери;США / Великобритания;фэнтези, анимация, мелодрама, семейный;2011;290;8.1
Джуманджи: Новый уровень;Джейк Кэздан;США;приключения, комедия;2019;291;8.1
Команда А;Джо Карнахан;США;боевик, триллер, военный;2010;292;8.1
Час пик;Бретт Рэтнер;США;триллер, боевик, комедия;1998;293;8.1
Д'Артаньян и три мушкетёра;Георгий Юнгвальд-Хилькевич;СССР;мюзикл, приключения;1979;294;8.1
Ангел А;Люк Бессон;Франция;мелодрама, комедия;2005;295;8.1
Эквилибриум;Курт Уиммер;США;фантастика, триллер;2002;296;8.1
Девушка с татуировкой дракона;Дэвид Финчер;США;криминал, триллер;2011;297;8.1
Заклятие;Джеймс Ван;США;триллер, ужасы;2013;298;8.1
Джуманджи: Зов джунглей;Джейк Кэздан;США;приключения, семейный, фэнтези;2017;299;8.1
Гарри Поттер и Орден Феникса;Дэвид Йейтс;Великобритания / США;сказка, семейный, драма, приключения;2007;300;8.1
Крестный отец;Фрэнсис Форд Коппола;США;драма, триллер;1972;301;8.1
Девчата;Юрий Чулюкин;СССР;мелодрама, комедия;1961;302;8.1
Укрась прощальное утро цветами обещания;Мари Окада;Япония;анимация, драма, приключения, аниме ;2018;303;8.1
BTS: Love Yourself Tour in Seoul;Не указано;Корея;документальный, мюзикл;2018;304;8.1
Спасти рядового Райана;Стивен Спилберг;США;боевик, военный, драма;1998;305;8.1
Небесный замок Лапута;Хаяо Миядзаки;Япония;сказка, анимация, семейный, приключения, аниме ;1986;306;8.1
Мотылек;Михаэль Ноер;Сербия / Черногория / Мальта / США;драма, криминал, биография;2017;307;8.1
Неудержимые;Сильвестр Сталлоне;США;боевик;2010;308;8.1
Годзилла;Роланд Эммерих;США / Япония;боевик, фантастика;1998;309;8.1
Бурлеск;Стив Энтин;США;мелодрама, мюзикл, драма;2010;310;8.1
Три метра над уровнем неба. Я тебя хочу;Фернандо Гонзалез Молина;Испания;мелодрама, драма;2012;311;8.1
Апгрейд;Ли Уоннелл;Австралия;фантастика, боевик, триллер;2018;312;8.1
Путь домой;Чарльз Мартин Смит;США;приключения, семейный;2019;314;8.1
Лицо со шрамом;Брайан Де Пальма;США;драма, криминал;1983;315;8.1
Дом странных детей мисс Перегрин;Тим Бертон;США;фэнтези, приключения;2016;316;8.1
Быстрый и мертвый;Сэм Рэйми;США / Япония;вестерн;1995;317;8.1
Секретарша;Стивен Шейнберг;США;комедия, мелодрама;2002;318;8.1
Звездная пыль;Мэттью Вон;Великобритания / США;приключения, мелодрама, сказка;2007;319;8.1
Пальма;Александр Домогаров младший;Россия;драма;2020;320;8.1
Адмиралъ;Андрей Кравчук;Россия;драма, биография, исторический;2008;321;8.1
Гадкий я 3;Пьер Коффин;США;приключения, комедия, анимация;2017;322;8.1
Кот в сапогах;Крис Миллер;США;фэнтези, комедия, анимация, приключения;2011;323;8.1
Индиана Джонс: В поисках утраченного ковчега;Стивен Спилберг;США;приключения, триллер, боевик;1981;324;8.1
Семь жизней;Габриэле Муччино;США;драма;2008;325;8.1
Экипаж;Роберт Земекис;США;драма;2012;326;8.1
Клаустрофобы 2: Лига выживших;Адам Робител;США;ужасы, триллер;2021;327;8.1
